label,roi_name,source,"atlas_file or other information (*to see atlases, on Mac go to Users> bressks1>fsl>data>atlases)"
1,left_posterior_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
2,right_posterior_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
3,left_mid_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
4,right_mid_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
5,right_anterior_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
6,left_anterior_insula,Farb et al. 2013,"Insula subregions were generated using the 16 cytoarchitecturally-defined ROIs in Farb et al. 2013.  Posterior, mid, and anterior ROIs included the 2 most posterior, 3 middle, and 3 most anterior regions per hemisphere, respectively. Overlapping voxels between middle and anterior, posterior regions were assigned to respective anterior and posterior regions."
7,left_amygdala,"Thresholded Juelich Atlas BLA, CMe, and Superficial amygdala masks at 50%, then thresholded the Harvard Oxford Subcortical Atlas Amygdala mask at 50%, added all of these together to make a composite amygdala ROI ",Juelich-maxprob-thr50-2mm.nii.gz and HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
8,right_amygdala,"Thresholded Juelich Atlas BLA, CMe, and Superficial amygdala masks at 50%, then thresholded the Harvard Oxford Subcortical Atlas Amygdala mask at 50%, added all of these together to make a composite amygdala ROI ",Juelich-maxprob-thr50-2mm.nii.gz and HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
9,left_aTPJ,Mars et al. 2013 (FSL) - Mars TPJ Connectivity-based parcellation thresholded at 50%,Users/bressks1/fsl/data/MarsTPJParcellation/TPJ_thr50_summary_image_2mm.nii.gz
10,right_aTPJ,Mars et al. 2013 (FSL) - Mars TPJ Connectivity-based parcellation thresholded at 50%,Users/bressks1/fsl/data/MarsTPJParcellation/TPJ_thr50_summary_image_2mm.nii.gz
11,left_pTPJ,Mars et al. 2013 (FSL) - Mars TPJ Connectivity-based parcellation thresholded at 50%,Users/bressks1/fsl/data/MarsTPJParcellation/TPJ_thr50_summary_image_2mm.nii.gz
12,right_pTPJ,Mars et al. 2013 (FSL) - Mars TPJ Connectivity-based parcellation thresholded at 50%,Users/bressks1/fsl/data/MarsTPJParcellation/TPJ_thr50_summary_image_2mm.nii.gz
13,left_IFG_tri,Harvard-Oxford cortical atlas (FSL) thresholded at 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
14,right_IFG_tri,Harvard-Oxford cortical atlas (FSL) thresholded at 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
15,left_IFG_oper,Harvard-Oxford cortical atlas (FSL) thresholded at 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
16,right_IFG_oper,Harvard-Oxford cortical atlas (FSL) thresholded at 50%,Users/bressk1/fsl/data/atlases/HarvardOxford/HarvardOxford-cort-maxprob-thr50-2mm.nii.gz
17,left_M1_trunk,"4mm spheres around coordinates from Roux et al. 2018, 2020","Primary somatosensory regions were generated from mean MNI coordinates for body-part specific responses, determined via electrostimulation by Roux et al. 2018. Primary motor regions were generated via the same procedures completed in Roux et al. 2020 (Note. Mean coordinates were taken directly from tables in most cases; however, for Table 3 in Roux et al. (2020), mean coordinates were computed from the listed coordinates for each distinct body part, rather than the broader body part groupings provided, e.g. computed for “thumb” rather than the listed mean coordinate for “all fingers”). 4mm spheres were generated around the averaged coordinate for each specific body part listed in each paper. The corresponding spherical regions were joined to form the following categorial groupings:
-Upper face: forehead, eyes, eyebrows, nose, cheek
-Lower face: lips, jaw
-Mouth: tongue, teeth, larynx, pharynx 
*Note, overlapping voxels between lower face and mouth were assigned to lower face."
